Order,Family,Species,Voucher.Data,X1kP_Sample,Source,Note
Petrosaviales,Petrosaviaceae,Japonolirion osense,Chase 38664 (K),P01-11C,Angiosperms353,
Picramniales,Picramniaceae,Alvaradoa amorphoides,Castillo 2787 (K),P03-08H,Angiosperms353,
Pinales,Pinaceae,Pinus ponderosa,Stewart and Burris,JBND,1kp,
Piperales,Aristolochiaceae,Aristolochia elegans,Soltis and Miles 2754,PAWA,1kp,"add. 36; no Hydnoroideae, parastic"
Piperales,Piperaceae,Piper auritum,Soltis and Miles 2794,MUNP,1kp,
Poales,Poaceae,Deschampsia cespitosa,Chase 34433 K,IADP,1kp,add. 33
Poales,Poaceae,Panicum miliaceum,Kellogg PI536011 (MO),SOHV,1kp,add. 33; no Oryzoideae; whole genome?
Poales,Typhaceae,Typha angustifolia,Chase 34436 K,PPQR,1kp,
Proteales,Platanaceae,Platanus occidentalis,Soltis and Miles 2757,VQFW,1kp,
Ranunculales,Papaveraceae,Corydalis linstowiana,Chase 34442 K,ZGQD,1kp,
Rosales,Elaeagnaceae,Elaeagnus pungens,Soltis and Miles 2951,RBYC,1kp,add. 27; Ceanothus not sampled
Rosales,Rhamnaceae,Rhamnus caroliniana,Soltis and Miles 2952,WVEF,1kp,add. 27; Ceanothus not sampled
Rosales,Barbeyaceae,Barbeya oleoides,Friis 15068 (K),P02-12A,Angiosperms353,
Santalales,Olacaceae,Ximenia americana,Soltis and Miles 2949,XKPS,1kp,
Sapindales,Sapindaceae,Dodonaea viscosa,Strijk 203 (UPS),P03-08D,Angiosperms353,
Sapindales,Anacardiaceae,Litchi chinensis,T. Chen et. al. 2010090807,WAXR,1kp,"big clade, adding one extra"
Saxifragales,Iteaceae,Itea virginica,Soltis and Miles 2760,UWFU,1kp,add 32; Penthorum not sampled; close relatives chosen
Saxifragales,Haloragaceae,Myriophyllum aquaticum,Soltis and Miles 2788,IUSR,1kp,
Saxifragales,Saxifragaceae,Saxifraga fortunei,RBGKew Living Collection  1982-689,P02-08B,Angiosperms353,
Solanales,Solanaceae,Solanum sisymbriifolium,Chase 34445 K,NMDZ,1kp,add. 22
Solanales,Solanaceae,Nicotiana heterantha,Chase 68222 (K),P02-06B,Angiosperms353,
Trochodendrales,Trochodendraceae,Trochodendron aralioides,DWS NY 334/82A,SWOH,1kp,
Vahliales,Vahliaceae,Vahlia capensis,Chase 5885 (K),P01-04D,Angiosperms353,
Vitales,Vitaceae,Cissus quadrangularis,Chase 34459 K,BGZG,1kp,add. 31; no Leea
Vitales,Vitaceae,Cyphostemma mappia,Page 11 (MAU),P01-12D,Angiosperms353,
Zingiberales,Strelitziaceae,Strelitzia reginae,Chase 34470 K,UOEL,1kp,
Zygophyllales,Krameriaceae,Krameria lanceolata,Soltis and Miles 2991,ZHMB,1kp,
Icacinales,Icacinaceae,Pyrenacantha malvifolia,Chase 33151 K,QZZU,1kp,
Lycophytes,Isoetaceae,Isoetes tegetiformans,JLM2013-47 (GA),PKOX,1kp;OG,
Lycophytes,Selaginellaceae,Selaginella apoda,Rothfels 4118 (DUKE),LGDQ,1kp;OG,
